Barlinek;RCKiK Szczecin Mobile Barlinek;Szpitalna 8;1;52.9967477;15.2212969
Bartoszyce;RCKiK Olsztyn OT Bartoszyce;Wyszynskiego 11;0;54.2586528;20.7964833
Belchatow;RCKiK Lodz Mobile Belchatow;Edwardow 3A;1;51.3571705;19.364955
Biala Podlaska;RCKiK Lublin OT Biala Podlaska;Jana III Sobieskiego 8;0;52.047289;23.1095191
Bialogard;RCKiK Szczecin OT Bialogard;Nowowiejskiego 7;0;54.0061506;16.0040568
Bialystok;RCKiK Bialystok;Marii Sklodowskiej-Curie 23;0;53.1256921;23.1604182
Bielsk Podlaski;RCKiK Bialystok OT Bielsk Podlaski;Kleszczelowska 1c;0;52.7597153;23.2019586
Bielsko-Biala;RCKiK Katowice OT Bielsko-Biala;Wyspianskiego 21;0;49.8232317;19.0356352
Bochnia;RCKiK Krakow OT Bochnia;Krakowska 31;0;49.9664099;20.4210931
Bogatynia;RCKiK Walbrzych Mobile Bogatynia;Szpitalna 16;1;50.9071062;14.9683775
Boleslawiec;RCKiK Walbrzych Mobile Boleslawiec;Plac Marszalka Jozefa Pilsudskiego 1;1;51.2620809;15.5680682
Brodnica;RCKiK Bydgoszcz OT Brodnica;18 Stycznia 36a;0;53.245657;19.4038429
Brzeg;RCKiK Opole OT Brzeg;Mossora 1;0;50.857069;17.4776
Busko-Zdroj;RCKiK Kielce Mobile Busko-Zdroj;Bohaterow Warszawy 67;1;50.46807;20.7024053
Bydgoszcz;RCKiK Bydgoszcz;Ks. Markwarta 8;0;53.1256921;23.1604182
Bydgoszcz;WCKiK MON Bydgoszcz;Powstancow Warszawy 5;0;53.1424876;18.0130542
Bytom;RCKiK Katowice OT Bytom;Zeromskiego 7;0;50.3528354;18.9204372
Chelm;RCKiK Lublin OT Chelm;Szpitalna 53;0;51.1496382;23.4512572
Chelmno;RCKiK Bydgoszcz Mobile Chelmno;Plac Rydygiera 1;1;53.344259;18.4185793
Chodziez;RCKiK Poznan OT Chodziez;Stefana Zeromskiego 29;0;52.988335;16.8455114
Chojnice;RCKiK Slupsk OT Chojnice;Lesna 10;0;53.712112;17.5481381
